content_partner,primary_collection,items_total,digitalnz_usage_buckets,archive_tier,recommendation,rights_evidence,existing_archive_coverage,duplication_decision
Manaaki Whenua – Landcare Research,Flora of New Zealand,1476,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Forest and Bird,Forest and Bird,76,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Forest and Bird,Forest and Bird YouTube,245,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Free Music Archive,Free Music Archive,5,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Freesound,Freesound,65,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Gisborne Photo News,Gisborne Photo News,14190,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Gus Fisher Gallery,Gus Fisher Gallery NZMuseums,96,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Hamilton City Libraries,Hamilton Heritage Collections,10795,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
HathiTrust,HathiTrust Digital Library,2317,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Hawke's Bay Knowledge Bank,Hawke's Bay Knowledge Bank,29536,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Tertiary College,He Kupu,205,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Dunedin Public Libraries,He Purapura Marara Scattered Seeds,2001,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Ministry of Health,HealthEd Health Resources,1,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Upper Hutt City Library,Historic Graffiti at Trentham Ranges,4485,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,Historical Maps of the Waikato Region,237,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,Historical Photos of the Waikato and New Zealand,597,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,Historical Photos of Waikato Rugby,75,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The University of Auckland Library,History of the University of Auckland,22400,All rights reserved | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Otago,Hocken Collections YouTube,60,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Otago,Hocken Snapshop,32993,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Howick Historical Village,Howick Historical Village NZMuseums,10322,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Hurunui District Libraries,Hurunui Kete,1521,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Hutt City Council,Hutt City Council Archives,15899,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
UC Department of Art History and Theory,Illumination & Commemoration,123,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,Illustrated London News: New Zealand,1963,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
iNaturalist NZ — Mātaki Taiao,iNaturalist NZ — Mātaki Taiao,527674,All rights reserved | Modify | Share | Use commercially,metadata_and_item_level_payload,"Archive observation metadata with provenance. Copy photos, sounds, and observations only when the individual licence allows it; preserve licence, attribution, and observer/source fields.","iNaturalist licences observations, photos, and sounds at item level and they may differ.",HF edithatogo/digitalnz (facet metadata only); no exact iNaturalist NZ corpus found in the checked estate.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Internet Archive,Internet Archive,3,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Isel House,Isel House NZMuseums,33,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
John Kinder Theological Library,John Kinder Theological Library,9126,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The University of Auckland Library,Journal of the Polynesian Society,4745,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kent Palmer Art,Kent Palmer Art,89,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Central Hawke's Bay,Kete Central Hawke's Bay,429,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Christchurch,Kete Christchurch,45055,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Hauraki Coromandel,Kete Hauraki Coromandel,925,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Horowhenua,Kete Horowhenua,29386,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kawerau District Library,Kete Kawerau,589,All rights reserved | Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete King Country,Kete King Country,264,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Masterton,Kete Masterton,374,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete New Plymouth,Kete New Plymouth,33245,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Rotorua,Kete Rotorua,4258,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Selwyn,Kete Selwyn,2815,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Tararua,Kete Tararua,417,All rights reserved | Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Tasman,Kete Tasman,2053,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kete Taupo,Kete Taupo,551,All rights reserved | Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Waimakariri District Libraries,Kete Waimakariri,599,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
"Buller, Grey and Westland District Libraries",Kete West Coast,3740,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Kowai Archives,Kowai Archives NZMuseums,23,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland Libraries,Kura Heritage Collections Online,109816,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Manaaki Whenua – Landcare Research,Landcare Research Digital Library,7960,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Landcare Trust,Landcare Trust YouTube,77,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Landfall,Landfall Archive,4988,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Landfall,Landfall Review Online,705,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Lincoln University,Landscape Review,258,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
LERNZdb,LERNZ Freshwater Database,1193,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Lincoln University,Lincoln Planning Review,282,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Lincoln University,Lincoln University Research Archive,6435,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Lincoln University,Lincoln University Resources for Education,302,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Lost Christchurch,Lost Christchurch,133,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Lincoln University,Mahika Kai Journal,7,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Ngā Pae o te Māramatanga,MAI Journal,181,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
DigitalNZ,Make it Digital,23,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
